,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actor_names,actor_characters,director_names,genres_list
90,tm158,A Song Is Born,MOVIE,The story of seven scholars in search of an expert to teach them about swing music. They seem to have found the perfect candidate in winsome nightclub singer Honey Swanson. But Honey's gangster boyfriend doesn't want to give her up.,1948,Unknown,113,"['music', 'action', 'comedy', 'romance']",['US'],0,tt0040820,6.9,2489.0,3.459,6.5,"['Danny Kaye', 'Virginia Mayo', 'Benny Goodman', 'Tommy Dorsey', 'Louis Armstrong', 'Lionel Hampton', 'Charlie Barnet', 'Mel Powell', 'Ford Washington Lee', 'Samba Kings', 'Hugh Herbert', 'Steve Cochran', 'J. Edward Bromberg', 'Felix Bressart', 'Ludwig Stössel', 'O. Z. Whitehead', 'Esther Dale', 'Mary Field', 'Howland Chamberlain', 'Paul Langton', 'Sidney Blackmer', 'Ben Welden', 'Ben Chasen', 'Peter Virgo', 'Harry Babasin', 'Alton Hendrickson', 'Sue George', 'Milicent Patrick']","['Professor Hobart Frisbee', 'Honey Swanson', 'Professor Magenbruch', 'Tommy Dorsey', 'Louis Armstrong', 'Lionel Hampton', 'Charlie Barnet', 'Mel Powell', 'Buck', 'The Samba Kings (as Russo and The Samba Kings)', 'Professor Twingle', 'Tony Crow', 'Dr. Elfini', 'Professor Gerkikoff', 'Professor Traumer', 'Professor Oddly', 'Miss Bragg', 'Miss Totten', 'Mr. Setter', 'Joe', 'Adams', 'Monte', 'Ben', 'Louis', 'Bass', 'Guitar', 'Cigarette Girl (uncredited)', 'Woman at Dorsey Club (uncredited)']",['Howard Hawks'],"[""['music'"", ""'action'"", ""'comedy'"", ""'romance']""]"
91,ts55748,What's My Line?,SHOW,"Four panelists must determine guests' occupations - and, in the case of famous guests, while blindfolded, their identity - by asking only ""yes"" or ""no"" questions.",1950,Unknown,30,"['reality', 'family']",['US'],18,tt1036980,8.6,1563.0,87.392,6.9,['John Charles Daly'],['Self - Moderator'],[],"[""['reality'"", ""'family']""]"
92,tm87277,The Headless Horseman,MOVIE,"The village of Sleepy Hollow is getting ready to greet the new schoolteacher, Ichabod Crane, who is coming from New York. Crane has already heard of the village's legendary ghost, a headless horseman who is said to be searching for the head that he lost in battle. The schoolteacher has barely arrived when he begins to pursue the beautiful young heiress Katrina Van Tassel, angering Abraham Van Brunt, who is courting her. Crane's harsh, small-minded approach to teaching also turns some of the villagers against him. Soon there many who would like to see him leave the village altogether.",1922,Unknown,76,"['horror', 'comedy', 'drama']",['US'],0,tt0013223,4.9,299.0,0.747,5.5,"['Will Rogers', 'Nancy Chase', 'Kay McCausland', 'James Sheridan', 'Downing Clarke', 'Jerry Devine', 'Bernard A. Reinold', 'Ben Hendricks Jr.', 'Charles E. Graham', 'Mary Foy', 'Lois Meredith']","['Ichabod crane', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",['Edward D. Venturini'],"[""['horror'"", ""'comedy'"", ""'drama']""]"
93,tm112752,Sherlock Holmes and the Secret Weapon,MOVIE,"In the midst of World War II, Sherlock Holmes rescues the Swiss inventor of a new bomb-sight from the Gestapo and brings him to England, where he shortly falls into the clutches of Professor Moriarty.",1943,Unknown,68,"['thriller', 'crime', 'drama']",['US'],0,tt0035317,6.5,5948.0,4.593,6.3,"['Basil Rathbone', 'Nigel Bruce', 'Lionel Atwill', 'William Post Jr.', 'Kaaren Verne', 'Dennis Hoey', 'Holmes Herbert', 'Mary Gordon', 'Harry Cording', 'Harold De Becker', 'Paul Fix', 'Henry Victor', 'John Burton', 'Paul Bryar', 'Whit Bissell', 'Rudolph Anders', 'Colin Kenny', 'George Burr Macannan', 'Harry Woods']","['Sherlock Holmes', 'Doctor Watson', 'Moriarty', 'Dr. Franz Tobel', 'Charlotte Eberli', 'Inspector Lestrade', 'Sir Reginald', 'Mrs. Hudson', 'Jack Brady (uncredited)', 'Peg Leg (uncredited)', 'Mueller (uncredited)', 'Professor Frederic Hoffner (uncredited)', 'RAF Officer (uncredited)', 'Swiss Waiter (uncredited)', 'London Bobbie (uncredited)', 'Braun (uncredited)', 'Scotland Yard Detective (uncredited)', 'Gottfried (uncredited)', 'Kurt (uncredited)']",['Roy William Neill'],"[""['thriller'"", ""'crime'"", ""'drama']""]"
94,tm137796,The Kennel Murder Case,MOVIE,"Philo Vance, accompanied by his prize-losing Scottish terrier, investigates the locked-room murder of a prominent and much-hated collector whose broken Chinese vase provides an important clue.",1933,Unknown,73,['crime'],['US'],0,tt0024210,6.9,3447.0,2.496,6.3,"['William Powell', 'Mary Astor', 'Eugene Pallette', 'Ralph Morgan', 'Robert McWade', 'Robert Barrat', 'Frank Conroy', 'Etienne Girardot', 'James Lee', 'Paul Cavanagh', 'Arthur Hohl', 'Helen Vinson', 'Jack La Rue', 'Harry Allen', 'Wade Boteler', 'Don Brodie', 'James Burke', 'George Chandler', 'Spencer Charters', 'Virginia Dabney', 'Milton Kibbee', 'Harry Morgan', ""Henry O'Neill"", 'Paul Panzer', 'Cliff Saum', 'Skippy', 'Arthur Thalasso', 'Monte Vandergrift', 'Leo White', 'Renee Whitney', 'Charles C. Wilson']","['Philo Vance', 'Hilda Lake', 'Detective Heath', 'Raymond Wrede', 'District Attorney Markham', 'Archer Coe', 'Brisbane Coe', 'Dr. Doremus', 'Liang', 'Thomas MacDonald', 'Gamble the Butler', 'Doris Delafield', 'Eduardo Grassi', 'Sandy (uncredited)', 'Desk Sergeant Mellish (uncredited)', 'Police Photographer (uncredited)', 'Policeman Who Lets Dog Out (uncredited)', 'Reporter at Police Station (uncredited)', 'Sergeant Snitkin (uncredited)', 'Girl (uncredited)', 'Reporter (uncredited)', 'Gamble (uncredited)', 'Dubois (uncredited)', 'Baggage Clerk (uncredited)', 'Policeman on Night Patrol (uncredited)', 'Terrier at Dog Show (uncredited)', 'Detective (uncredited)', 'Detective (uncredited)', 'Chicago Hotel Clerk (uncredited)', 'Telephone Operator (uncredited)', 'Detective Hennessy (uncredited)']",['Michael Curtiz'],"[""['crime']""]"
95,tm15689,The Woman in Green,MOVIE,"Sherlock Holmes investigates when young women around London turn up murdered, each with a finger severed. Scotland Yard suspects a madman, but Holmes believes the killings to be part of a diabolical plot.",1945,Unknown,68,"['thriller', 'crime', 'drama']",['US'],0,tt0038259,6.6,6065.0,8.992,6.5,"['Basil Rathbone', 'Nigel Bruce', 'Hillary Brooke', 'Henry Daniell', 'Paul Cavanagh', 'Matthew Boulton', 'Eve Amber', 'Frederick Worlock', 'Percival Vivian', 'Coulter Irwin', 'Sally Shepherd', 'Mary Gordon', 'John Burton', 'Harold De Becker', 'Tony Ellis', 'Bess Flowers', 'Kay Harding', 'Alec Harford', 'Olaf Hytten', 'Boyd Irwin', 'Eric Mayne', ""William H. O'Brien""]","['Sherlock Holmes', 'Dr. John Watson', 'Lydia Marlowe', 'Professor James Moriarty', 'Sir George Fenwick', 'Inspector Gregson', 'Maude Fenwick', 'Dr. Onslow', 'Dr. Simnell', 'Corporal Williams', 'Crandon', 'Mrs. Hudson', 'Waring the Mesmerist (uncredited)', 'Shoelace Vendor Henchman  (uncredited)', 'Carter the Hypnotized Subject (uncredited)', 'Bar Patron (seen in mirror) (uncredited)', '4th Victim (uncredited)', 'Commissioner of the CID (uncredited)', ""Fenwick's Butler Norris (uncredited)"", 'Short-Tempered Officer Closing Window (uncredited)', 'Member of Mesmer Club (uncredited)', 'Pembrook House Waiter (uncredited)']",['Roy William Neill'],"[""['thriller'"", ""'crime'"", ""'drama']""]"
96,tm15954,Wonder Man,MOVIE,"Boisterous nightclub entertainer Buzzy Bellew was the witness to a murder committed by gangster Ten Grand Jackson. One night, two of Jackson's thugs kill Buzzy and dump his body in the lake at Prospect Park in Brooklyn. Buzzy comes back as a ghost and summons his bookworm twin, Edwin Dingle, to Prospect Park so that he can help the police nail Jackson.",1945,Unknown,98,"['fantasy', 'comedy']",['US'],0,tt0038260,6.9,2228.0,3.373,6.5,"['Danny Kaye', 'Virginia Mayo', 'Vera-Ellen', 'Donald Woods', 'S.Z. Sakall', 'Allen Jenkins', 'Edward Brophy', 'Steve Cochran', 'Otto Kruger', 'Richard Lane', 'Natalie Schafer', 'Huntz Hall', 'Virginia Gilmore', 'Edward Gargan', 'Alice Mock', 'Gisela Werbisek', 'Bess Flowers']","['Edwin Dingle / Buzzy Bellew', 'Ellen Shanley', 'Midge Mallon', 'Monte Rossen', 'Schmidt', 'Chimp', 'Torso', 'Ten Grand Jackson', ""District Attorney R.J. O'Brien"", 'Asst. District Attorney', 'Mrs. Hume', 'Mike, a Sailor', ""Sailor's Girl Friend"", 'Policeman in Prospect Park', 'Prima Donna', 'Mrs. Schmidt', 'Pelican Club Extra / Opera Patron (uncredited)']",['H. Bruce Humberstone'],"[""['fantasy'"", ""'comedy']""]"
97,tm131957,At War with the Army,MOVIE,"Two former nightclub partners are now enlisted in the Army. Sergeant Puccinelli ranks above his former partner, Private First Class Korwin. Puccinelli is desperately trying to get transferred from his dull job to active duty overseas. Meanwhile, all Korwin wants is a pass to see his wife and new baby.",1950,Unknown,93,"['comedy', 'war']",['US'],0,tt0042209,5.5,2373.0,3.857,5.4,"['Dean Martin', 'Jerry Lewis', 'Mike Kellin', 'Dick Stabile', 'Danny Dayton', 'Angela Greene', 'Polly Bergen', 'Dewey Robinson', 'Lee Bennett']","['Vic Puccinelli', 'Alvin Korwin', 'Sergeant McVey', 'Private Pokey', 'Supply Sergeant Miller', 'Deborah Caldwell', 'Helen Palmer', 'Bartender', 'Soldier (uncredited)']",['Hal Walker'],"[""['comedy'"", ""'war']""]"
98,tm88605,Fear in the Night,MOVIE,"The dream is unusually vivid: Bank employee Vince Grayson finds himself murdering a man in a sinister octagonal-shaped room lined with mirrors while a mysterious woman breaks into a safe. It is so vivid that Vince suspects it may have really happened. To get the dream off his mind, he goes on a picnic with some relatives. When a thunderstorm forces his party into a nearby mansion, Vince discovers that the bizarre room does exist, and it means nothing but trouble.",1947,Unknown,72,"['thriller', 'crime', 'drama']",['US'],0,tt0039372,6.4,1549.0,3.838,5.5,"['Paul Kelly', 'DeForest Kelley', 'Ann Doran', 'Kay Scott', 'Charles Victor', 'Robert Emmett Keane', 'Jeff York', 'Gladys Blake', 'Julia Faye', 'John Harmon', 'Richard Keene', 'Janet Warren', 'Stuart Holmes']","['Cliff Herlihy', 'Vince Grayson', 'Lil Herlihy', 'Betty Winters', 'Captain Warner', 'Lewis Belknap, aka Harry Byrd', 'Deputy Torrence (as Jeff Yorke)', 'Bank Clerk (uncredited)', 'Rental Home Owner (uncredited)', 'Clyde Bilyou (uncredited)', 'Mr. Kern (uncredited)', 'Mrs. Dorothy Belknap (uncredited)', 'Man with Packages in Elevator (uncredited)']",['Maxwell Shane'],"[""['thriller'"", ""'crime'"", ""'drama']""]"
99,tm16906,San Pietro,MOVIE,"This documentary movie is about the battle of San Pietro, a small village in Italy. Over 1,100 US soldiers were killed while trying to take this location, that blocked the way for the Allied forces from the Germans.",1945,Unknown,32,"['war', 'documentation']",['US'],0,ttttttttt,6.1,464.0,2.659,6.1,"['Mark W. Clark', 'John Huston']","['Himself - Introduction', 'Narrator']",['John Huston'],"[""['war'"", ""'documentation']""]"
100,tm165392,Becky Sharp,MOVIE,"The first feature length film to use three-strip Technicolor film. Adapted from a play that was adapted from William Makepeace Thackeray's book ""Vanity Fair"", the film looks at the English class system during the Napoleonic Wars era.",1935,Unknown,84,"['drama', 'romance', 'war']",['US'],0,tt0026104,5.9,1097.0,2.191,5.8,"['Miriam Hopkins', 'Frances Dee', 'Cedric Hardwicke', 'Billie Burke', 'Alison Skipworth', 'Nigel Bruce', 'Alan Mowbray', 'G.P. Huntley', 'William Stack', 'George Hassell', 'William Faversham', 'Charles Richman', 'Doris Lloyd', 'Colin Tapley', 'Leonard Mudie', 'May Beatty', 'Charles Coleman', 'Bunny Beatty', 'Finis Barton', 'Olaf Hytten', 'Pauline Garon', 'Jimmy Robinson', 'Elspeth Dudgeon', 'Tempe Pigott', 'Ottola Nesmith', 'Joan Arnold', 'Billie Bellport', 'Mrs. Leslie Carter', 'Will Geer', 'Gaston Glass', 'Creighton Hale', 'Keith Hitchcock', 'Viola Moore', 'Pat Nixon', 'C. Montague Shaw', 'Pat Somerset', 'John Warburton', 'Madeline Wilson']","['Becky Sharp', 'Amelia Sedley', 'Marquis of Steyne', 'Lady Bareacres', 'Miss Crawley', 'Joseph Sedley', 'Rawdon Crawley', 'George Osborne', 'Pitt Crawley', 'Sir Pitt Crawley', 'Duke of Wellington', 'Gen. Tufto', 'Duchess of Richmond', 'William Dobbin', 'Tarquin', 'Briggs', 'Bowles', 'Lady Blanche', 'Miss Flowery', 'The Prince Regent', 'Fifine', ""Sedley's Page"", 'Miss Pinkerton', 'The Charwoman', 'Lady Jane Crawley', 'Girl (uncredited)', 'Girl (uncredited)', 'Woman (uncredited)', 'Spectator (uncredited)', 'British Officer (uncredited)', 'British Officer (uncredited)', 'British Officer (uncredited)', 'Laura (uncredited)', 'Ballroom Dancer (uncredited)', 'British Nobleman (uncredited)', 'British Officer (uncredited)', 'Beau Brummel (uncredited)', 'Girl (uncredited)']",['Rouben Mamoulian'],"[""['drama'"", ""'romance'"", ""'war']""]"
101,tm163014,Gulliver's Travels,MOVIE,"Gulliver washes ashore on Lilliput and attempts to prevent war between that tiny kingdom and its equally-miniscule rival, Blefiscu, as well as smooth the way for the romance between the Princess and Prince of the opposing lands. In this he is alternately aided and hampered by the Lilliputian town crier and general fussbudget, Gabby. A life-threatening situation develops when the bumbling trio of Blefiscu spies, Sneak, Snoop, and Snitch, manage to steal Gulliver's pistol.",1939,G,76,"['action', 'animation', 'family', 'comedy', 'fantasy', 'romance']",['US'],0,tt0031397,6.6,4330.0,5.762,6.3,"['Lanny Ross', 'Sam Parker', 'Pinto Colvig', 'Jack Mercer', 'Cal Howard', 'Tedd Pierce', 'Livonia Warren', 'Jessica Dragonette', 'Max Smith', 'Gus Wickie']","['Prince David (singing voice)', 'Gulliver (voice)', 'Gabby (voice) (uncredited)', 'King Little (voice) (uncredited)', 'Prince David (voice)', 'King Bombo (voice)', 'Princess Glory (voice)', 'Princess Glory (singing voice)', 'Singer (voice) (uncredited)', 'Various (voice) (uncredited)']",['Dave Fleischer'],"[""['action'"", ""'animation'"", ""'family'"", ""'comedy'"", ""'fantasy'"", ""'romance']""]"
102,tm67142,The Inspector General,MOVIE,"An illiterate stooge in a traveling medicine show wanders into a strange town and is picked up on a vagrancy charge. The town's corrupt officials mistake him for the inspector general whom they think is traveling in disguise. Fearing he will discover they've been pocketing tax money, they make several bungled attempts to kill him.",1949,Unknown,101,"['romance', 'comedy']",['US'],0,tt0041509,6.7,3295.0,3.945,6.4,"['Danny Kaye', 'Walter Slezak', 'Barbara Bates', 'Elsa Lanchester', 'Gene Lockhart', 'Alan Hale', 'Walter Catlett', 'Rhys Williams', 'Benny Baker', 'Leonard Bremen', 'Robert Cherry', 'Frank Conlan', 'Jimmy Conlin', 'Helena Dare', 'Bryn Davis', 'George Davis', 'Abe Dinovitch', 'Art Dupuis', 'Robert Filmer', 'Byron Foulger', 'Karen Hale', 'Lew Hearn', 'Sam Hearn', 'Herbert Heywood', 'Si Jenks', 'Fred Kelsey', 'Joleen King', 'Marc Krah', 'Gracille LaVinder', 'Norman Leavitt', 'Ida Moore', 'Jack Mower', 'Alix Nagy', 'Paul Newlan', 'Nestor Paiva', 'Barbara Pepper', 'Joe Ploski', 'Maudie Prickett', 'Harry Raven', 'Buddy Roosevelt', 'Lester Sharpe', 'Pepi Sinoff', 'Arthur Tovey', 'Joan Vohs', 'Audrey Winn', 'Jeff York']","['Georgi', 'Yakov', 'Leza', 'Maria', 'The Mayor', 'Kovatch', 'Colonel Castine', 'Inspector General', 'Telecki (uncredited)', 'Lieutenant (uncredited)', 'Peasant (uncredited)', 'OId Villager (uncredited)', 'Turnkey (uncredited)', 'Townwoman (uncredited)', ""Councilman's Wife (uncredited)"", 'Ladislaus (uncredited)', 'Peasant (uncredited)', 'Sentry (uncredited)', 'Sentry (uncredited)', 'Burbis (uncredited)', ""Councilman's Wife (uncredited)"", 'Izzick (uncredited)', 'Gizzick (uncredited)', 'Goatherd (uncredited)', 'Deaf Villager (uncredited)', 'Villager (uncredited)', ""Councilman's Wife (uncredited)"", 'Gypsy (uncredited)', 'Townwoman (uncredited)', 'Lazlo (uncredited)', 'Old Villager (uncredited)', 'Villager (uncredited)', ""Councilman's Wife (uncredited)"", 'Viertel - the Woodchopper (uncredited)', 'Gregor (uncredited)', 'Buxom Villager (uncredited)', 'Bela (uncredited)', 'Townwoman (uncredited)', 'Sentry (uncredited)', 'Sentry (uncredited)', 'Sentry (uncredited)', ""Councilman's Wife (uncredited)"", 'Townsman (uncredited)', 'Peasant Girl (uncredited)', ""Councilman's Wife (uncredited)"", 'Guard (uncredited)']",['Henry Koster'],"[""['romance'"", ""'comedy']""]"
